No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
4_2_12,Sesamos Cafe Bistro,"39.9283979225472, 32.87108857950652",1013/1,"Çamlıtepe, Erdem Cd. No:4, 06590 Çankaya/Ankara",Ticaret,1.0,Değil,,,,,Aynı parselde görünen diğer yapı yıkılmış ve otopark yapılmış ya da buradaki yapı yıkılıp yerine böyle bir düzenleme yapılmış. ,4,39.9283979225472,32.87108857950652,2.2666666666666666
4_2_13,,"39.92832731993015, 32.870891986498876",1013/2,"Çamlıtepe, Uğurlu Sk. No:23, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92832731993015,32.870891986498876,7.333333333333333
4_2_14,,"39.92828652069746, 32.87068088079153",1013/3,"Çamlıtepe, Uğurlu Sk. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92828652069746,32.87068088079153,7.333333333333333
4_2_15,,"39.928173393986214, 32.87058700347752",1013/25,"Çamlıtepe, Uğurlu Sk. No:19, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.928173393986214,32.87058700347752,7.333333333333333
4_2_16,,"39.92818743021144, 32.870427020672295",1013/29,"Çamlıtepe, Uğurlu Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92818743021144,32.870427020672295,7.333333333333333
4_2_17,,"39.928135153362874, 32.8702761962888",1013/30,"Çamlıtepe, Uğurlu Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.928135153362874,32.8702761962888,7.333333333333333
4_2_18,,"39.92801789509669, 32.87009087612152",1013/32,"Çamlıtepe, Uğurlu Sk. No:13, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92801789509669,32.87009087612152,7.333333333333333
4_2_19,,"39.927925542096204, 32.869806156455006",1013/9,"Çamlıtepe, Uğurlu Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.927925542096204,32.869806156455006,7.333333333333333
4_2_20,,"39.9278669196673, 32.86968744046823",1013/10,"Çamlıtepe, Uğurlu Sk. No:7, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.9278669196673,32.86968744046823,7.333333333333333
4_2_21,,"39.927795364738984, 32.86955202942337",1013/11,"Çamlıtepe, Uğurlu Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.927795364738984,32.86955202942337,7.333333333333333
4_2_22,,"39.92769869214014, 32.86936695700431",1013/12,"Çamlıtepe, Uğurlu Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92769869214014,32.86936695700431,6.066666666666666
4_2_23,,"39.92797648208944, 32.86925766500543",1013/12,"Çamlıtepe, Ozanlar Cd No:5, 06590 Çankaya/Ankara",Ticaret,1.0,Değil,,,,,Müştemilat gibi bir yapı. Derme çatma. ,4,39.92797648208944,32.86925766500543,2.2666666666666666
4_3_1,,"39.92731453441015, 32.869275046501095",1019/19,"Çamlıtepe, Uğurlu Sk. No:18, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,4,39.92731453441015,32.869275046501095,8.6
4_3_2,,"39.927199349212465, 32.86910338512212",1019/18,"Çamlıtepe, Uğurlu Sk. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.927199349212465,32.86910338512212,7.333333333333333
4_3_3,,"39.92712711843103, 32.8689541407509",1019/17,"Çamlıtepe, Uğurlu Sk. No:14, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92712711843103,32.8689541407509,7.333333333333333
4_3_4,,"39.92706484727435, 32.868836996183404",1019/16,"Çamlıtepe, Uğurlu Sk. No:12, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Sokaktaki apartmanlara göre daha eski dönem yapısı görünümünde.,4,39.92706484727435,32.868836996183404,6.066666666666666
4_3_5,Özel Kurtuluş Yüksek Öğrenim Kız Öğrenci Yurdu,"39.92698874251289, 32.86870825014917",1019/15,"Çamlıtepe, Uğurlu Sk. No:10, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,4,39.92698874251289,32.86870825014917,7.333333333333333
4_3_6,,"39.92686797197145, 32.868577080832424",1019/14,"Çamlıtepe, Uğurlu Sk. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92686797197145,32.868577080832424,7.333333333333333
4_3_7,,"39.92687772141204, 32.86833643455775",1019/13,"Çamlıtepe, Uğurlu Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92687772141204,32.86833643455775,7.333333333333333
4_3_8,,"39.92682827779818, 32.86821111687403",1019/12,"Çamlıtepe, Uğurlu Sk. No:4, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92682827779818,32.86821111687403,7.333333333333333
4_3_9,Ankara Gençlik ve Spor İl Müdürlüğü Ek Bina,"39.92658385531681, 32.868073710838146",1019/11,"Çamlıtepe, Kıbrıs Cd. No:3, 06590 Çankaya/Ankara",Devlet Dairesi,5.0,Değil,,,,,,4,39.92658385531681,32.868073710838146,7.333333333333333
4_3_10,,"39.92617649043907, 32.86832058698981",1019/20,"Çamlıtepe, Taşkent Sk. No:1-3, 06550 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92617649043907,32.86832058698981,7.333333333333333
4_3_11,,"39.92621591253381, 32.86857194533138",1019/8,"Çamlıtepe, Taşkent Sk. No:5, 06550 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.92621591253381,32.86857194533138,8.6
4_3_12,,"39.9263394044808, 32.86873838647319",1019/7,"Çamlıtepe, Taşkent Sk. No:7, 06550 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.9263394044808,32.86873838647319,7.333333333333333
4_3_13,,"39.92642990828928, 32.8688081239084",1019/6,"Çamlıtepe, Taşkent Sk. No:9, 06550 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.92642990828928,32.8688081239084,8.6
4_3_14,,"39.92653892408717, 32.86912462457016",1019/5,"Çamlıtepe, Taşkent Sk. No:11, 06550 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.92653892408717,32.86912462457016,8.6
4_3_15,,"39.92665616729267, 32.869020018417345",1019/4,"Çamlıtepe, Taşkent Sk. No:13, 06550 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92665616729267,32.869020018417345,7.333333333333333
4_3_16,,"39.926697305217274, 32.86913267119404",1019/3,"Çamlıtepe, Taşkent Sk. No:15, 06550 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.926697305217274,32.86913267119404,7.333333333333333
4_3_17,,"39.92691640608529, 32.86932772073838",1019/2,"Çamlıtepe, Taşkent Sk. No:17, 06550 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.92691640608529,32.86932772073838,8.6
4_3_18,,"39.92704762728417, 32.8695385729388",1019/1,"Çamlıtepe, Ozanlar Cd No:6, 06590 Çankaya/Ankara",Konut+Ticaret+Belediye,6.0,Değil,,,,,Zemin katta ABB Üniversite Öğrencileri Giysi Yıkama Merkezi var.,4,39.92704762728417,32.8695385729388,8.6
4_4_1,,"39.92746512855732, 32.869539435983896",1014/12,"Çamlıtepe, Uğurlu Sk. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92746512855732,32.869539435983896,6.066666666666666
4_4_2,,"39.927558798939124, 32.869647205573564",1014/13,"Çamlıtepe, Uğurlu Sk. No:22, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı? balkon korkulukları özgün.,4,39.927558798939124,32.869647205573564,6.066666666666666
4_4_3,,"39.927580894188125, 32.86998370180372",1014/14,"Çamlıtepe, Uğurlu Sk. No:24, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927580894188125,32.86998370180372,7.333333333333333
4_4_4,,"39.927601181880064, 32.87018377279651",1014/15,"Çamlıtepe, Uğurlu Sk. No:26, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927601181880064,32.87018377279651,7.333333333333333
4_4_5,,"39.92765316906327, 32.87020361454786",1014/16,"Çamlıtepe, Uğurlu Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92765316906327,32.87020361454786,7.333333333333333
4_4_6,,"39.927783770837166, 32.87037722987219",1014/17,"Çamlıtepe, Uğurlu Sk. No:30, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927783770837166,32.87037722987219,7.333333333333333
4_4_7,,"39.927809130376026, 32.870514468652374",1014/18,"Çamlıtepe, Uğurlu Sk. No:32, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927809130376026,32.870514468652374,7.333333333333333
4_4_8,,"39.927878869059434, 32.87071123268661",1014/19,"Çamlıtepe, Uğurlu Sk. No:34, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.927878869059434,32.87071123268661,7.333333333333333
4_4_9,,"39.92801961419087, 32.870689737448714",1014/20,"Çamlıtepe, Uğurlu Sk. No:36, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92801961419087,32.870689737448714,7.333333333333333
4_4_10,,"39.928061549206966, 32.87091040974534",1014/21,"Çamlıtepe, Uğurlu Sk. No:36, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.928061549206966,32.87091040974534,7.333333333333333
4_4_11,,"39.928195607824705, 32.87134102205508",1014/22,"Çamlıtepe, Erdem Cd. No:6, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.928195607824705,32.87134102205508,8.6
4_4_12,,"39.92811269139366, 32.87132570925466",1014/23,"Çamlıtepe, Erdem Cd. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92811269139366,32.87132570925466,7.333333333333333
4_4_13,,"39.92796411591017, 32.87143132607976",1014/24,"Çamlıtepe, Erdem Cd. No:10, 06590 Çankaya/Ankara",Konut,4.0,Değil ,,,,,Dönem yapısı? balkon korkulukları özgün.,4,39.92796411591017,32.87143132607976,6.066666666666666
4_4_14,,"39.927905382876794, 32.871489030693546",1014/25,"Çamlıtepe, Erdem Cd. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927905382876794,32.871489030693546,7.333333333333333
4_4_15,,"39.92769921563539, 32.87154690509115",1014/1,"Çamlıtepe, Taşkent Sk. No:41, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92769921563539,32.87154690509115,8.6
4_4_16,,"39.927670974610535, 32.87135393125317",1014/2,"Çamlıtepe, Taşkent Sk. No:39, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.927670974610535,32.87135393125317,7.333333333333333
4_4_17,,"39.927650641061845, 32.87105636854786",1014/3,"Çamlıtepe, Taşkent Sk. No:37, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.927650641061845,32.87105636854786,6.066666666666666
4_4_18,,"39.927534287881905, 32.87104605696873",1014/4,"Çamlıtepe, Taşkent Sk. No:35, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.927534287881905,32.87104605696873,8.6
4_4_19,,"39.92751056536465, 32.87083982538616",1014/5,"Çamlıtepe, Taşkent Sk. No:33, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92751056536465,32.87083982538616,8.6
4_4_20,,"39.92742132344034, 32.87073081726394",1014/6,"Çamlıtepe, Taşkent Sk. No:31, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92742132344034,32.87073081726394,8.6
4_4_21,,"39.92735128539045, 32.87058940132901",1014/7,"Çamlıtepe, Taşkent Sk. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92735128539045,32.87058940132901,7.333333333333333
4_4_22,,"39.9272699507939, 32.87027710778968",1014/8,"Çamlıtepe, Taşkent Sk. No:27, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.9272699507939,32.87027710778968,7.333333333333333
4_4_23,İlksan Deha Otel,"39.92708920690004, 32.870165153502",1014/29,"Çamlıtepe, Taşkent Sk. No:25, 06590 Çankaya/Ankara",Otel,6.0,Değil,,,,,,4,39.92708920690004,32.870165153502,8.6
4_4_24,Özel Zahide Hanım Yüksek Öğrenim Kız Öğrenci Yurdu,"39.92712083711591, 32.86972912101312",1014/28,"Çamlıtepe, Ozanlar Cd No:7, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,4,39.92712083711591,32.86972912101312,7.333333333333333
4_5_1,,"39.92647949605906, 32.869786249181814",1018/24,"Çamlıtepe, Taşkent Sk. No:22, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92647949605906,32.869786249181814,6.066666666666666
4_5_2,,"39.926507475888094, 32.86963889139667",1018/23,"Çamlıtepe, Taşkent Sk. No:20, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.926507475888094,32.86963889139667,8.6
4_5_3,,"39.92644552716126, 32.869500781251716",1018/22,"Çamlıtepe, Taşkent Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92644552716126,32.869500781251716,7.333333333333333
4_5_4,,"39.926285659220085, 32.869479934437386",1018/21,"Çamlıtepe, Taşkent Sk. No:16, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,4,39.926285659220085,32.869479934437386,8.6
4_5_5,,"39.92619973004235, 32.86931055407001",1018/20,"Çamlıtepe, Taşkent Sk. No:14, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92619973004235,32.86931055407001,8.6
